Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Adversário,Pontuação,Status_ID,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
2,89846,Cristaldo,GRE,Meia,visitante,CEA,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90061,Bruno Pacheco,FOR,Lateral,visitante,MIR,2.5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90285,Bruno Henrique,FLA,Atacante,visitante,VIT,10.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,90307,Juninho,FLA,Atacante,visitante,VIT,7.3,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,90703,Matheuzinho,VIT,Meia,mandante,FLA,3.5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90768,Fabrício Bruno,CRU,Zagueiro,visitante,INT,1.7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90943,Zé Marcos,VIT,Zagueiro,mandante,FLA,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,91101,Ronaldo,BAH,Goleiro,visitante,SAN,1.9,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
2,91130,Fernandinho,CEA,Atacante,mandante,GRE,5.2,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,91473,Erick Pulgar,FLA,Meia,visitante,VIT,1.4,0,1,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,91573,Arboleda,SAO,Zagueiro,visitante,CAM,5.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,91607,Rony,CAM,Atacante,mandante,SAO,6.6,0,1,1,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,91639,Igor Cariús,SPT,Lateral,mandante,PAL,6.1,0,0,4,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,91706,Marlon,CRU,Lateral,visitante,INT,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
